id,name,code,category_id/id,provider_id/id,provider_type_id/id,image_url,is_pre_booking,is_post_booking_booked,is_post_booking_issued,is_economy,is_premium_economy,is_business,is_first_class
tt_ssr_list_id_71,Kid's Meal,CHMX,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_72,Nasi Briyani Combo,BLML,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_73,Vege Rice Combo,AVML,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_74,Hot Dog,HDMA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_75,AA Chicken Rice,CRMA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_76,Warrant Add-on,GOV,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_77,Smoked Chicken Focaccia,CFSA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_78,Checked baggage 1,BGAA,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_79,Checked baggage 2,BGAB,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_80,Checked baggage3,BGAC,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_81,Checked baggage 4,BGAD,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_82,Chicken Rice Combo,CRCA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_83,Fried Rice with Chicken Satay Combo,FRCA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_84,AA Asian Fried Rice,FRMA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_85,Infant,INF,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_86,Infant,INFT,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_87,International cuisine,INMX,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_88,Regular - up to 15kg,BXDA,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_89,Medium - up to 20kg,BXDB,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_90,Large - up to25kg,BXDC,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_91,Xtra Large - up to 30kg,BXDD,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_92,Bukhara chicken briyani combo,BRCA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_93,Standard seat,ASR,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_94,20% off on fares for PH Senior Citizen/Person with Disability,BLK,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_95,Advanced seat request,ADSR,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
