"id","name","type","is_international_flight","city","country_id/id","code","icao","latitude","longitude","altitude","timezone_hour","daylight_saving_times","tz"
"tt_airport_5814","Crooked Creek Airport","airport","TRUE","Crooked Creek","base.us","CKD",,61.867778,-158.135,178,-9,"A","America/Anchorage"
"tt_airport_5815","Red Devil Airport","airport","TRUE","Red Devil","base.us","RDV",,61.788056,-157.350278,174,-9,"A","America/Anchorage"
"tt_airport_5816","Sleetmute Airport","airport","TRUE","Sleetmute","base.us","SLQ","PASL",61.700566,-157.165833,190,-9,"A","America/Anchorage"
"tt_airport_5817","Stony River 2 Airport","airport","TRUE","Stony River","base.us","SRV",,61.7875,-156.591111,230,-9,"A","America/Anchorage"
"tt_airport_5818","Healy River Airport","airport","TRUE","Healy","base.us","HKB","PAHV",63.8675,-148.968889,1263,-9,"A","America/Anchorage"
"tt_airport_5819","Kake Seaplane Base","airport","TRUE","Kake","base.us","KAE",,56.973056,-133.945556,0,-9,"A","America/Anchorage"
"tt_airport_5820","Klawock Seaplane Base","airport","TRUE","Klawock","base.us","AQC","PAQC",55.554658,-133.101693,0,-9,"A","America/Anchorage"
"tt_airport_5821","Minchumina Airport","airport","TRUE","Lake Minchumina","base.us","MHM","PAMH",63.886111,-152.301944,678,-9,"A","America/Anchorage"
"tt_airport_5822","Manley Hot Springs Airport","airport","TRUE","Manley Hot Springs","base.us","MLY","PAML",64.9975,-150.644167,270,-9,"A","America/Anchorage"
"tt_airport_5823","St. George Airport","airport","TRUE","St. George","base.us","STG",,56.577222,-169.663611,125,-9,"A","America/Anchorage"
"tt_airport_5824","Tatitlek Airport","airport","TRUE","Tatitlek","base.us","TEK",,60.8725,-146.691111,62,-9,"A","America/Anchorage"
"tt_airport_5825","Ketchikan harbor Seaplane Base","airport","TRUE","Ketchikan","base.us","WFB",,55.344444,-131.663333,0,-9,"A","America/Anchorage"
"tt_airport_5894","Lancaster Amtrak Station","airport","TRUE","Lancaster","base.us",,,40.05,-76.31,345,-5,"A","America/New_York"
"tt_airport_5895","Ardmore Amtrak Station","airport","TRUE","Ardmore","base.us",,,40.01,-75.29,360,-5,"A","America/New_York"
"tt_airport_5897","Metropark Amtrak Station","airport","TRUE","Iselin","base.us",,,40.568,-74.3275,1,-5,"A","America/New_York"
"tt_airport_5898","St. Louis Downtown Airport","airport","TRUE","East St. Louis","base.us","CPS",,38.5707244,-90.1562211,413,-6,"U","America/Chicago"
"tt_airport_5920","Newport News Amtrak Station","airport","TRUE","Newport News","base.us",,,37.0228,-76.4519,0,-5,"A","America/New_York"
"tt_airport_5921","Portland Union Station","airport","TRUE","Portland","base.us",,,45.529,-122.6768,0,-8,"A","America/Los_Angeles"
"tt_airport_5941","Westport Amtrak Station","airport","TRUE","Westport","base.us",,,44.1871,-73.4519,1,-5,"A","America/New_York"
"tt_airport_5942","Trenton Amtrak Station","airport","TRUE","Trenton","base.us",,,40.21889,-74.75417,1,-5,"A","America/New_York"
"tt_airport_5961","North Philadelphia Amtrak Station","airport","TRUE","Philadelphia","base.us",,,39.9969556,-75.1487722,1,-5,"A","America/New_York"
"tt_airport_5976","Herbert Glacier","airport","TRUE","Juneau","base.us",,,58.571385,-134.607754,0,-9,"A","America/Anchorage"
