id,name,code,icao,city,country_id/id,provider_type_id/id,latitude,longitude,altitude,timezone_hour,tz,active
tt_destinations_203,Don Mueang International Airport,DMK,VTBD,Bangkok,base.th,tt_base.tt_provider_type_1,13.736717,100.523186,3,7,Asia/Bangkok,1
tt_destinations_204,Shanghai Pudong International Airport,PVG,ZSPD,Shanghai,base.cn,tt_base.tt_provider_type_1,31.230416,121.473701,13,8,Asia/Shanghai,1
tt_destinations_205,New Chitose Airport,CTS,RJCC,Chitose,base.jp,tt_base.tt_provider_type_1,42.792594,141.670479,63.812336,9,Asia/Tokyo,1
tt_destinations_206,Wenzhou Longwan International Airport,WNZ,ZSWZ,Wenzhou Shi,base.cn,tt_base.tt_provider_type_1,27.91566,120.84738,0,8,Asia/Chongqing,1
tt_destinations_207,Hangzhou Xiaoshan International Airport,HGH,ZSHC,Hangzhou,base.cn,tt_base.tt_provider_type_1,30.2295,120.433998,63.43,8,Asia/Chongqing,1
tt_destinations_208,Berlin Brandenburg Airport,BER,EDDB,Tatarstan,base.de,tt_base.tt_provider_type_1,52.516266,13.377775,121,1,Europe/Berlin,1
tt_destinations_209,Hannover Airport,HAJ,EDDV,Hannover,base.de,tt_base.tt_provider_type_1,52.461849,9.688992,183,1,Europe/Berlin,1
tt_destinations_210,Gatineau-Ottawa Executive Airport,YND,CYND,Gatineau,base.cn,tt_base.tt_provider_type_1,45.521667,-75.563611,209.974,-5,Canada/Eastern,1
tt_destinations_211,Ottawa Macdonald–Cartier International Airport,YOW,CYOW,Ottawa,base.cn,tt_base.tt_provider_type_1,35.7158,139.7292,377.297,-5,Canada/Eastern,1
tt_destinations_212,Vancouver International Airport,YVR,CYVR,Richmond,base.cn,tt_base.tt_provider_type_1,49.199564,-123.186233,13.1234,-8,Canada/Pacific,1
tt_destinations_213,King Abdulaziz International Airport,JED,OEJN,Jeddah,base.cn,tt_base.tt_provider_type_1,21.679444,39.156667,49.2126,3,Asia/Bahrain,1
tt_destinations_214,Montreal Saint-Hubert Longueuil Airport,YHU,CYHU,Longueuil,base.cn,tt_base.tt_provider_type_1,45.518056,-73.416944,88.5827,-5,Canada/Eastern,1
tt_destinations_215,Gimhae International Airport,PUS,RKPK,Busan,base.cn,tt_base.tt_provider_type_1,35.179444,128.938333,6.56168,9,Asia/Seoul,1
tt_destinations_216,Kaohsiung International Airport,KHH,RCKH,Kaohsiung,base.cn,tt_base.tt_provider_type_1,22.576944,120.35,31,8,Asia/Taipei,1
tt_destinations_217,Seattle–Tacoma International Airport,SEA,KSEA,Seatac,base.us,tt_base.tt_provider_type_1,47.443546,-122.301659,377.297,-8,America/Vancouver,1
tt_destinations_218,New Chitose Airport,CTS,RJCC,Chitose,base.jp,tt_base.tt_provider_type_1,42.792594,141.670478,63.812336,9,Asia/Tokyo,1
tt_destinations_219,Xi'an Xianyang International Airport,XIY,ZLXY,Xianyang,base.cn,tt_base.tt_provider_type_1,34.341568,108.940175,1.572,8,Asia/Hong_Kong,1
tt_destinations_220,Hangzhou Xiaoshan International Airport,HGH,ZSHC,Hangzhou,base.cn,tt_base.tt_provider_type_1,30.2295,120.433998,22.99869,8,Asia/Hong_Kong,1
tt_destinations_221,Nanjing Lukou International Airport,NKG,ZSNJ,Wuhan,base.cn,tt_base.tt_provider_type_1,31.7,118.9,14.94,8,Asia/Hong_Kong,1
tt_destinations_222,Stuttgart Airport,STR,EDDS,Stuttgart,base.de,tt_base.tt_provider_type_1,48.6880556,9.21,1276.25,1,Europe/Berlin,1
tt_destinations_223,Hamburg Airport,HAM,EDDH,Hamburg,base.de,tt_base.tt_provider_type_1,53.633622,9.997413,53,1,Europe/Berlin,1
tt_destinations_224,Abu Dhabi International Airport,AUH,OMAA,Abu Dhabi,base.ae,tt_base.tt_provider_type_1,24.432928,54.644539,88,4,Asia/Dubai,1
tt_destinations_225,Malacca International Airport,MKZ,WMKM,Malacca,base.my,tt_base.tt_provider_type_1,2.26336,102.251999,35.006562,8,Asia/Kuala_Lumpur,1
tt_destinations_226,Gold Coast Airport,OOL,YBCG,Bilinga,base.au,tt_base.tt_provider_type_1,-28.165645,153.509074,12.92,10,Australia/Queensland,1
tt_destinations_227,Vienna International Airport,VIE,LOWW,Schwechat,base.at,tt_base.tt_provider_type_1,48.122814,16.533358,600,1,Europe/Amsterdam,1
