id,name,code,provider_id/id,city_id/id,,
hotel_provider_code_quantum_52,Zell am See; AT,AT~529,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_53,Wiener Neustadt; AT,AT~1743,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_6,tt_city_code.rdx_city_AUT_6,tt_city_code.rdx_city_AUT_6
hotel_provider_code_quantum_54,Soelden; AT,AT~641,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_55,St. Anton; AT,AT~636,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_56,St. Poelten; AT,AT~662,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_57,St. Wolfgang; AT,AT~446,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_58,Strobl; AT,AT~406,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_59,Telfs-Buchen; AT,AT~646,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_60,Mayrhofen; AT,AT~305,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_61,Melk; AT,AT~744,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_62,Obergurgl; AT,AT~348,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_63,Salzburg; AT,AT~455,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_4,tt_city_code.rdx_city_AUT_4,tt_city_code.rdx_city_AUT_4
hotel_provider_code_quantum_64,Seefeld; AT,AT~411,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_65,Bad lschl; AT,AT~42,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_66,Baden bei Wien; AT,AT~688,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_67,Bregenz; AT,AT~631,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_3,tt_city_code.rdx_city_AUT_3,tt_city_code.rdx_city_AUT_3
hotel_provider_code_quantum_68,Dornbirn; AT,AT~1735,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_69,Duernstein; AT,AT~142,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_70,Eisenstadt; AT,AT~149,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_1,tt_city_code.rdx_city_AUT_1,tt_city_code.rdx_city_AUT_1
hotel_provider_code_quantum_71,Feldkirch; AT,AT~166,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_72,Fuschl; AT,AT~695,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_73,Gmunden; AT,AT~601,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_74,Graz; AT,AT~191,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_8,tt_city_code.rdx_city_AUT_8,tt_city_code.rdx_city_AUT_8
hotel_provider_code_quantum_75,Hallstatt; AT,AT~562,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_76,Heiligenblut; AT,AT~202,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_77,Hof bei Salzburg; AT,AT~201,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_78,Innsbruck; AT,AT~222,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_2,tt_city_code.rdx_city_AUT_2,tt_city_code.rdx_city_AUT_2
hotel_provider_code_quantum_79,Kaprun; AT,AT~752,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_80,Keutschach; AT,AT~747,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_81,Kitzbuehel; AT,AT~245,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_82,Klagenfurt; AT,AT~249,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_9,tt_city_code.rdx_city_AUT_9,tt_city_code.rdx_city_AUT_9
hotel_provider_code_quantum_83,Krumbach; AT,AT~689,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_84,Lech am Arlberg; AT,AT~600,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_85,Linz; AT,AT~278,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_5,tt_city_code.rdx_city_AUT_5,tt_city_code.rdx_city_AUT_5
hotel_provider_code_quantum_86,Loipersdorf; AT,AT~1694,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_87,Bad Blumau; AT,AT~50,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_88,Bad Gastein; AT,AT~549,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_89,Pertisau/Achensee; AT,AT~4,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_90,Saalbach; AT,AT~7,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_91,Mittelberg; AT,AT~10,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_92,Neustift; AT,AT~13,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_93,Ischgl; AT,AT~15,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_94,Mieders; AT,AT~16,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_95,St. Gilgen; AT,AT~3,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_96,Bad Waltersdorf; AT,AT~1,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_97,Geinberg; AT,AT~2,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_98,Krems; AT,AT~5,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_99,Laengenfeld; AT,AT~8,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_100,Wels; AT,AT~1744,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_101,Port Douglas; AU,AU~14,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_156,tt_city_code.rdx_city_AUS_156,tt_city_code.rdx_city_AUS_156
hotel_provider_code_quantum_102,Perth; AU,AU~13,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_70,tt_city_code.rdx_city_GBR_90,tt_city_code.rdx_city_AUS_70
